index_code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
CO,아이스 아메리카노,아이스 라떼,아이스 카페 라떼,아이스 카푸치노,아이스 바닐라 라떼,아이스 헤이즐넛 라떼,아이스 카라멜 마끼아또,아메리카노 아이스,라떼 아이스,카라멜 마끼아또,콜드브루,카페 라떼 아이스,카푸치노 아이스,바닐라 라떼 아이스,헤이즐넛 라떼 아이스,모카 아이스,카페 모카 아이스,아이스 아메리카노,아메리카노,카페 라떼,카페라떼,카푸치노,바닐라 라떼,헤이즐넛 라떼
BE,초코 라떼,고구마 라떼,녹차 라떼,딸기 라떼,미숫가루 라떼,밀크티,프라푸치노,,,,,,,,,,,,,,,,,
TA,유자차,레몬 티,캐모마일 티,페퍼민트 티,얼그레이 티,복숭아 아이스 티,레모나 아이스 티,아이스 티,애플 티,홍차,블랙퍼스트,,,,,,,,,,,,,
SD,콜라,코카 콜라,사이다,스프라이트,탄산수,페리에,트레비,사이다,,,,,,,,,,,,,,,,
JU,사과 주스,애플 주스,스파클링 애플 주스,바나나 주스,,,,,,,,,,,,,,,,,,,,
AD,체리콕,모히또,레몬 에이드,청포도 에이드,자몽 에이드,폭탄 에이드,애플망고 에이드,블루레몬 에이드,애플 사이다,라임 에이드,,,,,,,,,,,,,,
FD,샌드위치,치즈 김밥,소고기 김밥,볶은 김치 컵밥,치킨 마요 컵밥,스팸 마요 컵밥,버터 장조림 컵밥,낙지 콩나물 컵밥,순두부 찌개 컵밥,콩나물 해장국 컵밥,삼양라면,신라면,진라면 매운맛,짜파게티,빙수,마카롱,,,,,,,,
JT,얼음을 같이 갈아서,껍질 채 갈아서,,,,,,,,,,,,,,,,,,,,,,
OT,시원하게,아이스,핫,뜨겁게,따뜻하게,얼음 없이,얼음 적게,얼음 보통,얼음 많이,얼음,,,,,,,,,,,,,,
AT,시럽 추가해 주세요,시럽 50%로 주세요,시럽 빼주세요,,,,,,,,,,,,,,,,,,,,,
BT,바닐라 시럽 빼주세요,바닐라 시럽 빼줘,바닐라 시럽 추가,바닐라 시럽 추가 해주세요,헤이즐넛 시럽 빼주세요,헤이즐넛 시럽 빼줘,헤이즐넛 시럽 추가,카라멜 시럽 빼주세요,카라멜 시럽 빼줘,카라멜 시럽 추가,샷 빼주세요,샷 빼줘,샷 추가 해주세요,샷 추가 해줘,,,,,,,,,,
FT,크림치즈 추가,크림치즈 빼,딸기 잼 추가,딸기 잼 뺴,,,,,,,,,,,,,,,,,,,,
BQ,[NUM] 잔 ,[NUM] 개 ,[NUM],,,,,,,,,,,,,,,,,,,,,
SQ,[NUM] 캔 ,[NUM] 병 ,[NUM],,,,,,,,,,,,,,,,,,,,,
FQ,[NUM] 개 ,[NUM],,,,,,,,,,,,,,,,,,,,,,
NUM,5,,,,,,,,,,,,,,,,,,,,,,,
